Company,Company Name for Emails,Account Stage,Lists,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,SEO Description,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,Short Description,Founded Year,Logo Url
Alia Healthcare Services,Alia Healthcare Services,Cold,,21,government administration,marqwann@gmail.com,http://www.aliahealthcare.com,http://www.linkedin.com/company/alia-healthcare-services,,https://twitter.com/aliahealth,1495 Morse Rd,Columbus,Ohio,United States,43229,"1495 Morse Rd, Columbus, Ohio, United States, 43229","stna cna nurse aide training classes, supplemental medical staffing, medical training school franchise, homecare staffing",'+1 614-847-3617,"Voted #1 STNA Classes & CNA classes in Ohio. Choose us for affordable, flexible, and exceptional State Tested Nursing Aid Classes. Contact us TODAY!","Cloudflare DNS, SendInBlue, Outlook, Microsoft Office 365, CloudFlare Hosting, DigitalOcean, reCAPTCHA, Google Maps",,,,,6000000,,65047a83b6563100a3433430,,"Founded in 2001, Alia Healthcare Services offers STNA Classes in Columbus Ohio (State Tested Nurse Aide & Certified Nursing Assistant) as well as on a franchise basis throughout the United States.  Franchisees will own and operate a medical education school franchise in their territory of the US.  Board of Nursing Certified Medication Aide (MA-C), CPR, First Aid, Certified Home Health Aide (CHHA) are also other program offerings.  Alia Healthcare Services also has a supplemental staffing division for facilities such as hospitals and nursing homes as well as a home healthcare division providing in-home services both skilled and non-skilled to the geriatric and general population.",2001,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/640ca7027706080001915d8b/picture
LifeBridge Church,LifeBridge Church,Cold,,34,religious institutions,marqwann@gmail.com,http://www.alifebridge.com,http://www.linkedin.com/company/lifebridge-church,,,,Columbus,Ohio,United States,43229,"Columbus, Ohio, United States, 43229",,,,"HostPapa, Apache, WordPress.org, Mobile Friendly, Bootstrap Framework",,,,,,,65047a45b6563100b643208c,,Christian & Missionary Alliance Church,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture
"Apex Plumbing, Heating and Air Pros",Apex Plumbing Heating and Air Pros,Cold,,26,consumer services,marqwann@gmail.com,http://www.apexpros.com,http://www.linkedin.com/company/apex-plumbing-pros,https://www.facebook.com/apexplumbingpros,https://twitter.com/apexpros1,6700 Schrock Ct,Columbus,Ohio,United States,43229,"6700 Schrock Ct, Columbus, Ohio, United States, 43229","plumbing, drains, excavation",'+1 614-418-6344,"Do you need a certified plumber in Columbus, OH? Contact our team Apex Plumbing, Heating, and Air Pros today for high quality HVAC services!","Cloudflare DNS, Gmail, Google Apps, Microsoft Office 365, CloudFlare Hosting, Google Analytics, Facebook Custom Audiences, Facebook Login (Connect), Mobile Friendly, Google Tag Manager, WordPress.org, Facebook Widget, CallRail, Angies List, Vimeo, YouTube, Remote",,,,,,,65047a74b6563100a34333ad,,"Apex Plumbing, Heating and Air Pros is Central, Ohio's trusted home service company. We provide full-service plumbing, heating, and air conditioning services for residential and commercial customers. 

Rest easy knowing we're here for our customers no matter what. If you're not happy with your service, we'll make it right!",2020,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/64b4fb3c01785a0001d20fc4/picture
"ASC Group, Inc. and ASC/Auxano",ASC Group Inc. and ASC/Auxano,Cold,Environmental services,54,environmental services,marqwann@gmail.com,http://www.ascgroup.net,http://www.linkedin.com/company/asc-group-inc-,https://facebook.com/ASC.Group.Inc,,800 Freeway Dr N,Columbus,Ohio,United States,43229,"800 Freeway Dr N, Columbus, Ohio, United States, 43229","archaeological services, architectural history services, ecological services, environmental services, drone services, federal agency permitting, nepa documentation",'+1 317-915-9300,,"Google Cloud Hosting, Mobile Friendly, Nginx, Google Tag Manager, WordPress.org, Google Font API, reCAPTCHA, Woo Commerce, Remote",,,,,27232000,,65047a0eb6563100c84314c7,,"Founded in 1986, ASC Group, Inc. is a cultural and environmental resources consulting company with offices in 6 cities throughout the Midwest: Columbus, Cincinnati, and Cleveland, Ohio; Florence, Kentucky, Indianapolis, Indiana, and Harrisburg, Pennsylvania. We hold SBA, WBENC, and FAA certifications as well as certifications in 11 states.",1986,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/64a080edf322c500014a217b/picture
Big Brothers Big Sisters of Central Ohio,Big Brothers Big Sisters of Central Ohio,Cold,non-profit,69,individual & family services,marqwann@gmail.com,http://www.bbbscentralohio.org,http://www.linkedin.com/company/bbbscentraloh,,,1855 E Dublin Granville Rd,Columbus,Ohio,United States,43229-3500,"1855 E Dublin Granville Rd, Columbus, Ohio, United States, 43229-3500","communitybased mentoring, schoolbased mentoring, mentoring at camp otyokwa",'+1 614-839-4770,,"Salesforce, Outlook, MailChimp SPF",,,,,22093000,,650479f0b6563100b6431f11,8200,"Big Brothers Big Sisters of Central Ohio powers BIG futures by providing children facing adversity with mentoring relationships that change their lives for the better, forever. There are many ways to support our mission, including volunteering to mentor a child, becoming a financial supporter, sponsoring special events and initiatives, spreading the word through social media and becoming a member of one of our committees or advisory councils. We have mentoring opportunities that fit all schedules and lifestyles, and we partner with many of Central Ohio's businesses and community organizations to accomplish our mission.

Follow our page to find out more about the impact that mentoring relationships have on the children we serve and the future of Central Ohio. We will keep you up-to-date with our latest news and events, plus links that will help to demonstrate the true value of mentoring and the positive impact that it can have on the life of a child.

There are many Central Ohio kids waiting -- not so patiently -- for a Big Brother or Big Sister. Find out more about how you can help at www.bbbscentralohio.org.",1933,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/64a697e23322a100010df28e/picture
"Best Choice Home Health Care, LLC",Best Choice Home Health Care,Cold,,29,hospital & health care,marqwann@gmail.com,http://www.bestchoice.care,http://www.linkedin.com/company/best-choice-home-health-care-llc,,,,Columbus,Ohio,United States,,"Columbus, Ohio, United States","home health aide services, skilled nursing services, physical therapy services, occupational therapy services",'+1 614-396-8446,,"Gmail, Google Apps, GoDaddy Hosting, Remote",,,,,35000000,,6509f5175e73d900a34d77be,,"Best Choice Home Health Care, LLC is dedicated to providing premium patient care. Our patients are our passion and our driving force. Visit www.bestchoice.care to learn more.",2012,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/64b4f2c2b647c1000133d38d/picture
Candel Therapeutics,Candel Therapeutics,Cold,,79,research,marqwann@gmail.com,http://www.candeltx.com,http://www.linkedin.com/company/candel-therapeutics,,https://twitter.com/candeltx,,Needham,Massachusetts,United States,2494,"Needham, Massachusetts, United States, 02494","oncolytic viral immunotherapy, immunooncology, oncology, viral immunotherapy, prostate cancer, brain cancer, biotechnology",'+1 617-916-5445,,"Outlook, Microsoft Office 365, CloudFlare Hosting, Adobe Marketing Cloud, Typekit, Bootstrap Framework, Google Font API, WordPress.org, BugHerd, Mobile Friendly, Google Tag Manager, Vimeo, New Relic, SAP, Remote, Circle",547277106,Debt Financing,25000000,2/1/2022,63000,,6509f5545e73d900a34d792e,,"Candel ($CADL) is a late clinical stage biopharmaceutical company focused on helping patients fight cancer with viral immunotherapies. Candel's engineered viruses are designed to induce immunogenic cell death through direct viral-mediated cytotoxicity in cancer cells, thus releasing tumor neo-antigens while creating a pro-inflammatory microenvironment at the site of injection. Candel has established two viral immunotherapy platforms based on novel, genetically modified adenovirus and herpes simplex virus (HSV) constructs, respectively. CAN-2409 is the lead product candidate from the adenovirus platform and CAN-3110 is the lead product candidate from the HSV platform. New discovery programs are based on the HSV platform. For more information, visit www.candeltx.com or contact us at info@candeltx.com.",1999,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/64bd4bf75e8e150001517f67/picture
Capital Axe Throwing,Capital Axe Throwing,Cold,,22,entertainment,marqwann@gmail.com,http://www.capitalaxethrowing.com,http://www.linkedin.com/company/capital-axe-throwing,,,6124 Busch Blvd,Columbus,Ohio,United States,43229,"6124 Busch Blvd, Columbus, Ohio, United States, 43229","axethrowing, entertainment, catering, datenight, corporateteambuilding, casinothemed, family, specialevents, weekendactivities, drinks, giftcards, bachelorparty, sponsorships, fun, birthdayparties, friends, food, events, bacheloretteparty",'+1 614-987-6125,,"Facebook Custom Audiences, Google Tag Manager, Facebook Login (Connect), Google Font API, Mobile Friendly, Apache, Yelp, reCAPTCHA, Gravity Forms, WordPress.org, Facebook Widget, Remote",,,,,,,65047a80b6563100a3433420,,"We strive to provide our guests with a unique experience that sheds a new light on both axe throwing and casino gaming, in a classy and engaging environment. 

Reconsider everything you knew about axe throwing and casino games with our one-of-a kind activities. A playful twist on your favorite casino games.",2019,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture
"Community Banc Consulting of Ohio, Inc.",Community Banc Consulting of Ohio,Cold,financial,99,,marqwann@gmail.com,http://www.cbcohio.com,,https://www.facebook.com/CommunityBancConsulting/,,960 Kingsmill Pkwy,Columbus,Ohio,United States,43229-1138,"960 Kingsmill Pkwy, Columbus, Ohio, United States, 43229-1138",,'+1 614-848-3189,,"reCAPTCHA, Google Tag Manager, Bootstrap Framework, Mobile Friendly, Google Analytics, Micro, Remote",,,,,51571000,,650479d7b6563100a3432eff,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/615df2c4322cc30001ff4647/picture
Choice Recovery,Choice Recovery,Cold,non-profit,67,financial services,marqwann@gmail.com,http://www.choicerecovery.com,http://www.linkedin.com/company/choice-recovery,,,1105 Schrock Rd,Columbus,Ohio,United States,43229,"1105 Schrock Rd, Columbus, Ohio, United States, 43229","continuous customer service, debt relief, early out recovery, education, third party collection, second paper, customized solutions, credit reporting, ethical collections",'+1 800-559-9277,"Choice Recovery, Inc. is a collection agency for healthcare and medical debt, dental bills, rent, and student loans. 25 years experience nationwide.","Outlook, Microsoft Office 365, Mobile Friendly, Authorize.NET, YouTube, Google Maps (Non Paid Users), Nginx, Google Maps, Vimeo, Google Font API, Google Tag Manager, WordPress.org",,,,,,,650479fab6563100a3433065,,,1997,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/64aa81860ee9790001c2fb10/picture
Communities In Schools of Ohio,Communities In Schools of Ohio,Cold,non-profit,32,nonprofit organization management,marqwann@gmail.com,http://www.ciskids.org,http://www.linkedin.com/company/cisofohio,https://www.facebook.com/cisofohio,https://twitter.com/CISofOhio,6500 Busch Blvd,Columbus,Ohio,United States,43229-8202,"6500 Busch Blvd, Columbus, Ohio, United States, 43229-8202",,"'+1614.268.2472, ext. 20",,"Outlook, Facebook Widget, Facebook Login (Connect), Facebook Custom Audiences, Mobile Friendly, Google Maps, Apache, Vimeo, WordPress.org, Google Font API, Google Tag Manager, reCAPTCHA, Gravity Forms",,,,,34359000,,65047a4eb6563100a343326c,8200,"For 14.5 million children in America living in poverty, challenges outside the classroom like the lack of adequate food, clothing, shelter, and health care, can stand in the way of success inside the classroom. At Communities In Schools, we work in schools to remove those barriers by building one-on-one relationships and providing integrated student supports to at-risk students, that empower them to stay in school and succeed in life. Whether it is clean clothes, help with school work, or emotional support to help a child cope with and recover from a traumatic event, we connect students with the relationships and resources they need to succeed.",1993,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/641e937a977717000109afb7/picture
Cloak & Dagger,Cloak & Dagger,Cold,,25,,marqwann@gmail.com,http://www.cloakdagger.com,http://www.linkedin.com/company/cloak-&-dagger,,,1048 Morse Rd,Columbus,Ohio,United States,43229-6290,"1048 Morse Rd, Columbus, Ohio, United States, 43229-6290",,'+1 614-842-2583,,"Amazon AWS, Google AdSense, Mobile Friendly",,,,,34601000,,65047a77b6563100a34333be,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture
Carpenter Marty Transportation,Carpenter Marty Transportation,Cold,construction,34,civil engineering,marqwann@gmail.com,http://www.cmtran.com,http://www.linkedin.com/company/carpenter-marty-transportation,https://facebook.com/CMTran,https://twitter.com/cmtran2013,6612 Singletree Dr,Columbus,Ohio,United States,43229,"6612 Singletree Dr, Columbus, Ohio, United States, 43229","operational analysis, rightofway design, roadway engineering, traffic engineering, project inspection, survey, bridge engineering, project management, public involvement",'+1 614-656-2424,"Carpenter Marty Transportation makes our clients' jobs easier. We are experts in bridge, roadway, traffic, survey, and right-of-way design services.","Outlook, Microsoft Office 365, Mobile Friendly, Bootstrap Framework, Nginx, Google Tag Manager, WordPress.org, Google Font API, Remote",,,,,4563000,,65047a40b6563101f9430b9b,,"At Carpenter Marty Transportation (CM), our success is driven by employees that strive for excellence. Our company was founded to raise the standards in transportation engineering. We focus on exceeding client expectations, not making a profit. By keeping this as our core value, we have established and maintained strong working relationships with local municipalities, counties, and state transportation departments over the last 19 years.

Our team has extensive experience with local and state standards and are available to respond to client needs promptly.

Our expertise lies in:
-Bridge, Roadway, and Traffic Engineering
-Project Management
-Public Involvement
-Survey
-Right-of-Way Design Services
-Operational Analysis

We maintain a reputation for excellence, which is evident by our ability to gain repeat work from satisfied clients. We proudly boast a three-year ODOT Consultant Evaluation Score of 86%, which is well above the state average.

Facebook:  www.facebook.com/CMTran
Twitter:  www.twitter.com/CMTran2013  @CMTran2013
YouTube:  www.youtube.com/CMTransportation",2013,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/64a895737698830001b3f6f4/picture
Creative Cuisine Catering,Creative Cuisine Catering,Cold,consumer services,42,hospitality,marqwann@gmail.com,http://www.creativecuisinecolumbus.com,http://www.linkedin.com/company/creative-cuisine-catering,https://www.facebook.com/creativecuisinecolumbus/,,839 Busch Ct,Columbus,Ohio,United States,43229,"839 Busch Ct, Columbus, Ohio, United States, 43229","creative custom menus with personalized service, creative custom menus with personalized service & on time breakfast & lunch deliveries, on time breakfast & lunch deliveries, beer, wine & spirits, caterers, event planning & services, food, venues & event spaces",'+1 614-436-4949,"Welcome to Creative Cuisine, a premier catering company in Columbus, Ohio with a reputation for creating spectacular weddings, corporate and private events.","GoDaddy Hosting, Yelp, Mobile Friendly, Google Font API, Google Tag Manager, Varnish, WordPress.org",,,,,6000000,1,65047a2bb6563100b6431fd6,,"Fabulous food is only the beginning. Our creative professional staff has over 40 years of experience designing amazing events for groups of all sizes. Catering, Event Planning, In house Floral design, Theme Events and Specialty Equipment Rental.

Creative Cuisine is your dedicated partner from initial planning through final on site supervision, we will work within both your budget and timetable to create an event that generates excitement and admiration.",1973,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/64aab32903a014000159b671/picture
Embrace Home Health Care Llc,Embrace Home Health Care,Cold,healthcare,20,"health, wellness & fitness",marqwann@gmail.com,http://www.embracehomecarellc.com,http://www.linkedin.com/company/embrace-home-health-care-llc,,,733 E Dublin Granville Rd,Columbus,Ohio,United States,43229-3209,"733 E Dublin Granville Rd, Columbus, Ohio, United States, 43229-3209",,'+1 507-369-5701,507-369-5701 - FREE in-home consultations. Health care services. Personal care assistance. Homemaking. Home care nursing.,"1&1 Email Provider, Adobe Marketing Cloud, Oracle Cloud, AudioEye, Omniture (Adobe), Google Analytics, Facebook Widget, Facebook Login (Connect), Google Font API",,,,,,,65047a8cb6563100a3433479,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture
Farnham Equipment Company,Farnham Equipment Company,Cold,construction,27,construction,marqwann@gmail.com,http://www.farnhamequipment.com,http://www.linkedin.com/company/farnham-equipment-co,https://www.facebook.com/FarnhamEquipmentCompany,https://twitter.com/FarnhamEquipCo,930 Kingsmill Pkwy,Columbus,Ohio,United States,43229,"930 Kingsmill Pkwy, Columbus, Ohio, United States, 43229","casework, maintenance solutions, products installation, outdoor seating grandstands, athletic equipment, preconstruction services, telescopic seating, products amp installation, outdoor seating amp grandstands, fixed seating",'+1 614-882-0790,"Farnham Equipment Company is a local subcontractor specializing in bleachers, athletic equipment, casework, and more since 1956.","Outlook, Microsoft Office 365, Hubspot, Apache, reCAPTCHA, Bootstrap Framework, Mobile Friendly, Google Tag Manager, Google Font API, Google Analytics, WordPress.org, , Remote",,,,,414000,,65047a65b6563100b6432106,,"Since 1956, FEC has been in continuous operation serving Ohio's educational and institutional marketplace. Over the years, we have completed literally hundreds of projects of all types and sizes. In addition to our accrued institutional knowledge, each of our personnel have years of individual industry experience.

We specialize in delivering quality service with quality products. Our product catalog is vast with casework, telescopic seating, outdoor grandstand and bleacher seating, and athletic equipment options that can all be customized to fit your needs. Our turn-key solution is all inclusive to serve you, no matter what stage of the project or delivery method you choose. 

We provide:
Pre-Construction Services: Expert design assistance, product assistance, budgeting & quoting
Project Management: Dedicated in-house account managers and on-staff install teams throughout Ohio
Maintenance: Factory backed bleacher, grandstand, & athletic equipment inspections, on-demand maintenance & repair, performance & safety upgrades",1956,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/64b0a77c85dd6f00012b3b61/picture
